candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,17,16,16,11,37,3,,pt1,all
JB,15,17,18,13,34,3,,pt1,all
EP,7,21,29,18,21,4,,pt1,all
GA,6,20,28,19,23,4,,pt1,all
FR,6,13,35,22,21,3,,pt1,all
BLM,3,16,33,21,24,3,,pt1,all
GD,3,16,32,21,25,3,,pt1,all
JLM,7,11,16,16,47,3,,pt1,all
XB,3,15,35,22,22,3,,pt1,all
BC,2,13,38,23,21,3,,pt1,all
FB,2,13,31,27,24,3,,pt1,all
EZ,6,9,16,13,53,3,,pt1,all
FRo,2,12,39,23,21,3,,pt1,all
LW,3,11,32,23,27,4,,pt1,all
RG,3,10,41,22,19,3,,pt1,all
OF,2,10,39,24,21,4,,pt1,all
YBP,1,8,43,21,24,3,,pt1,all
DL,1,8,47,21,20,3,,pt1,all
