candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,20,14,17,10,35,4,,pt1,all
MLP,17,15,16,12,36,4,,pt1,all
EP,6,20,28,17,24,5,,pt1,all
MM,9,14,20,17,35,5,,pt1,all
GD,4,17,31,20,23,5,,pt1,all
BR,5,15,30,19,26,5,,pt1,all
EC,5,15,25,19,31,5,,pt1,all
GA,4,15,28,21,27,5,,pt1,all
FR,5,11,35,21,22,6,,pt1,all
RG,3,13,35,20,24,5,,pt1,all
XB,3,13,32,24,23,5,,pt1,all
FH,3,13,24,22,33,5,,pt1,all
DV,4,11,34,23,23,5,,pt1,all
SK,6,9,27,17,36,5,,pt1,all
EZ,6,9,17,14,49,5,,pt1,all
JLM,6,9,14,15,51,5,,pt1,all
FRo,3,11,37,20,24,5,,pt1,all
SL,2,12,33,24,25,4,,pt1,all
BC,2,10,39,22,23,4,,pt1,all
CA,3,9,35,23,26,4,,pt1,all
JC,1,11,33,26,24,5,,pt1,all
DL,3,8,41,19,24,5,,pt1,all
MBa,1,10,36,24,24,5,,pt1,all
OF,2,9,35,25,24,5,,pt1,all
MT,3,8,32,22,30,5,,pt1,all
BLM,2,9,32,24,28,5,,pt1,all
LW,2,9,33,23,29,4,,pt1,all
YBP,2,8,38,20,27,5,,pt1,all
BV,1,6,40,23,24,6,,pt1,all
