candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,16,29,14,18,23,,,pt2,left
FH,5,40,27,19,9,,,pt2,left
FRo,8,35,16,12,29,,,pt2,left
RG,7,32,20,23,18,,,pt2,left
JLM,16,22,23,33,6,,,pt2,left
MT,7,30,14,20,29,,,pt2,left
OF,3,33,20,18,26,,,pt2,left
DV,6,22,34,26,12,,,pt2,left
EP,1,23,35,31,10,,,pt2,left
BC,2,21,29,31,17,,,pt2,left
XB,3,19,28,33,17,,,pt2,left
GA,3,19,34,36,8,,,pt2,left
YBP,2,13,22,32,31,,,pt2,left
JNB,3,10,19,22,46,,,pt2,left
JB,5,6,9,75,5,,,pt2,left
MLP,3,8,11,74,4,,,pt2,left
AB,1,10,24,28,37,,,pt2,left
AdM,2,8,20,23,47,,,pt2,left
FB,2,7,24,58,9,,,pt2,left
RD,2,7,23,59,9,,,pt2,left
GD,2,7,20,63,8,,,pt2,left
GL,1,8,23,48,20,,,pt2,left
BR,1,7,19,61,12,,,pt2,left
MM,2,5,10,77,6,,,pt2,left
NS,1,6,18,69,6,,,pt2,left
LW,1,5,23,54,17,,,pt2,left
EC,1,5,12,71,11,,,pt2,left
DL,1,4,13,31,51,,,pt2,left
SK,1,4,7,45,43,,,pt2,left
EZ,1,2,5,88,4,,,pt2,left
