candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,9,22,10,36,23,,,pt2,absentionists
MLP,6,19,14,36,25,,,pt2,absentionists
GA,4,21,18,27,30,,,pt2,absentionists
EP,2,21,19,26,32,,,pt2,absentionists
MM,4,14,14,38,30,,,pt2,absentionists
GD,2,16,23,26,33,,,pt2,absentionists
RD,3,14,19,34,30,,,pt2,absentionists
FH,2,14,23,32,29,,,pt2,absentionists
DV,1,15,18,25,41,,,pt2,absentionists
EC,3,12,19,31,35,,,pt2,absentionists
XB,1,14,22,20,43,,,pt2,absentionists
BR,3,11,18,28,40,,,pt2,absentionists
NS,3,11,23,38,25,,,pt2,absentionists
BC,3,10,18,24,45,,,pt2,absentionists
FR,2,11,16,24,47,,,pt2,absentionists
RG,2,11,16,24,47,,,pt2,absentionists
FB,2,10,21,38,29,,,pt2,absentionists
JLM,3,8,14,53,22,,,pt2,absentionists
EZ,4,6,13,57,20,,,pt2,absentionists
SK,3,7,11,23,56,,,pt2,absentionists
YBP,1,9,13,24,53,,,pt2,absentionists
OF,1,9,18,23,49,,,pt2,absentionists
LW,1,9,18,30,42,,,pt2,absentionists
FRo,2,7,19,24,48,,,pt2,absentionists
JNB,1,8,11,19,61,,,pt2,absentionists
GL,1,7,14,28,50,,,pt2,absentionists
MT,1,7,12,30,50,,,pt2,absentionists
AB,0,8,14,23,55,,,pt2,absentionists
DL,2,5,11,18,64,,,pt2,absentionists
AdM,2,5,11,22,60,,,pt2,absentionists
