candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,62,26,4,1,7,,,pt2,farright
MLP,43,42,9,2,4,,,pt2,farright
MM,30,41,10,7,12,,,pt2,farright
EC,18,34,14,14,20,,,pt2,farright
EZ,20,29,17,25,9,,,pt2,farright
BR,10,37,17,17,19,,,pt2,farright
SK,26,14,7,19,34,,,pt2,farright
NS,9,30,26,24,11,,,pt2,farright
GD,5,34,18,26,17,,,pt2,farright
EP,3,20,22,41,14,,,pt2,farright
DL,5,16,10,21,48,,,pt2,farright
LW,2,18,27,32,21,,,pt2,farright
GA,2,18,19,47,14,,,pt2,farright
RD,2,17,23,44,14,,,pt2,farright
BC,1,12,26,37,24,,,pt2,farright
XB,0,12,20,41,27,,,pt2,farright
DV,0,12,19,48,21,,,pt2,farright
FR,1,8,15,51,25,,,pt2,farright
FRo,2,6,22,48,22,,,pt2,farright
FH,1,7,24,58,10,,,pt2,farright
GL,0,8,16,49,27,,,pt2,farright
OF,2,4,12,54,28,,,pt2,farright
YBP,1,4,16,43,36,,,pt2,farright
AB,2,2,13,47,36,,,pt2,farright
MT,0,4,10,58,28,,,pt2,farright
RG,1,2,14,55,28,,,pt2,farright
JNB,0,3,14,34,49,,,pt2,farright
AdM,0,2,17,39,42,,,pt2,farright
FB,0,2,24,59,15,,,pt2,farright
JLM,0,2,7,84,7,,,pt2,farright
