candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,20,19,13,37,11,,,pt2,all
MLP,16,19,14,40,11,,,pt2,all
EP,6,29,22,28,15,,,pt2,all
GA,5,28,24,27,16,,,pt2,all
BR,7,23,18,30,22,,,pt2,all
GD,6,24,20,33,17,,,pt2,all
SL,4,24,23,27,22,,,pt2,all
MM,9,18,17,41,15,,,pt2,all
RG,5,19,19,27,30,,,pt2,all
NS,5,18,20,43,14,,,pt2,all
FR,5,16,19,28,32,,,pt2,all
DV,4,17,22,30,27,,,pt2,all
JLB,3,18,22,25,32,,,pt2,all
XB,3,18,23,28,28,,,pt2,all
FH,3,18,25,38,16,,,pt2,all
FRo,2,19,24,26,29,,,pt2,all
EC,4,16,16,41,23,,,pt2,all
BC,3,17,24,25,31,,,pt2,all
YBP,2,17,16,27,38,,,pt2,all
EZ,7,11,13,58,11,,,pt2,all
FBa,3,15,22,23,37,,,pt2,all
RD,3,13,23,44,17,,,pt2,all
GL,2,14,19,34,31,,,pt2,all
LW,2,14,22,35,27,,,pt2,all
OF,1,15,23,30,31,,,pt2,all
EB,1,15,25,45,14,,,pt2,all
SK,7,8,12,28,45,,,pt2,all
JLM,5,8,13,62,12,,,pt2,all
MT,3,10,19,33,35,,,pt2,all
FB,1,10,25,49,15,,,pt2,all
