candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,60,28,4,4,4,,,pt2,farright
MLP,51,33,4,5,7,,,pt2,farright
MM,29,38,13,8,12,,,pt2,farright
EC,13,37,11,20,19,,,pt2,farright
EZ,21,26,17,27,9,,,pt2,farright
BR,14,33,14,24,15,,,pt2,farright
NS,8,31,20,29,12,,,pt2,farright
SK,25,11,8,24,32,,,pt2,farright
GD,9,27,18,34,12,,,pt2,farright
GA,5,22,21,40,12,,,pt2,farright
SL,5,21,21,33,20,,,pt2,farright
EP,3,22,20,44,11,,,pt2,farright
JLB,4,17,19,35,25,,,pt2,farright
LW,3,17,25,35,20,,,pt2,farright
XB,4,15,22,37,22,,,pt2,farright
FBa,6,12,22,31,29,,,pt2,farright
RD,5,13,20,52,10,,,pt2,farright
DV,4,13,18,44,21,,,pt2,farright
BC,3,12,22,40,23,,,pt2,farright
GL,3,12,16,46,23,,,pt2,farright
YBP,1,11,15,39,34,,,pt2,farright
FR,2,8,20,44,26,,,pt2,farright
RG,2,6,20,48,24,,,pt2,farright
FH,2,6,20,63,9,,,pt2,farright
FRo,8,21,47,24,,,,pt2,farright
OF,5,21,53,21,,,,pt2,farright
FB,5,24,61,10,,,,pt2,farright
EB,5,19,66,10,,,,pt2,farright
MT,1,2,16,52,29,,,pt2,farright
JLM,1,1,8,82,8,,,pt2,farright
