candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,17,55,15,7,6,,,pt2,macron
GA,15,50,17,6,12,,,pt2,macron
GD,12,44,19,11,14,,,pt2,macron
SL,8,42,22,10,18,,,pt2,macron
EB,4,40,26,14,16,,,pt2,macron
BR,9,34,24,16,17,,,pt2,macron
BC,6,36,23,10,25,,,pt2,macron
YBP,4,38,14,8,36,,,pt2,macron
JLB,4,36,21,12,27,,,pt2,macron
XB,3,35,23,14,25,,,pt2,macron
RG,4,33,20,18,25,,,pt2,macron
NS,7,26,26,34,7,,,pt2,macron
FBa,1,32,29,9,29,,,pt2,macron
DV,4,27,25,21,23,,,pt2,macron
GL,3,28,22,20,27,,,pt2,macron
FH,5,25,29,30,11,,,pt2,macron
FRo,2,25,32,15,26,,,pt2,macron
FB,2,23,35,27,13,,,pt2,macron
JB,7,17,21,47,8,,,pt2,macron
RD,2,22,35,28,13,,,pt2,macron
LW,2,20,36,20,22,,,pt2,macron
FR,1,18,24,27,30,,,pt2,macron
OF,3,15,33,19,30,,,pt2,macron
MLP,4,12,26,52,6,,,pt2,macron
EC,1,14,22,45,18,,,pt2,macron
MM,3,11,24,53,9,,,pt2,macron
MT,4,8,22,33,33,,,pt2,macron
EZ,5,5,15,70,5,,,pt2,macron
SK,3,4,18,28,47,,,pt2,macron
JLM,2,4,8,77,9,,,pt2,macron
