candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,14,19,14,30,23,,,pt2,absentionists
MLP,10,19,14,36,21,,,pt2,absentionists
GA,2,21,27,25,25,,,pt2,absentionists
EP,3,18,23,28,28,,,pt2,absentionists
MM,3,16,18,35,28,,,pt2,absentionists
SL,2,16,21,24,37,,,pt2,absentionists
BR,1,16,22,25,36,,,pt2,absentionists
GD,1,16,23,31,29,,,pt2,absentionists
FH,1,14,27,31,27,,,pt2,absentionists
RG,2,12,17,23,46,,,pt2,absentionists
EZ,3,10,13,53,21,,,pt2,absentionists
NS,2,10,20,44,24,,,pt2,absentionists
JLB,2,9,20,24,45,,,pt2,absentionists
DV,2,9,22,27,40,,,pt2,absentionists
BC,1,10,23,20,46,,,pt2,absentionists
EC,1,10,16,35,38,,,pt2,absentionists
YBP,1,9,14,23,53,,,pt2,absentionists
XB,1,9,22,25,43,,,pt2,absentionists
RD,1,9,24,39,27,,,pt2,absentionists
GL,0,10,17,26,47,,,pt2,absentionists
OF,0,10,18,27,45,,,pt2,absentionists
SK,2,7,15,22,54,,,pt2,absentionists
FR,1,8,18,26,47,,,pt2,absentionists
JLM,1,8,15,56,20,,,pt2,absentionists
FBa,1,7,19,20,53,,,pt2,absentionists
LW,1,7,20,30,42,,,pt2,absentionists
EB,1,7,26,44,22,,,pt2,absentionists
FRo,0,8,23,24,45,,,pt2,absentionists
MT,1,5,21,28,45,,,pt2,absentionists
FB,1,5,20,49,25,,,pt2,absentionists
