candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,57,33,3,2,5,,,pt2,farright
MLP,50,35,6,3,6,,,pt2,farright
MM,30,40,7,10,13,,,pt2,farright
EC,14,37,14,18,17,,,pt2,farright
EZ,17,29,18,26,10,,,pt2,farright
SK,22,20,11,18,29,,,pt2,farright
NS,8,29,25,28,10,,,pt2,farright
BR,6,29,21,25,19,,,pt2,farright
GD,3,26,22,35,14,,,pt2,farright
DL,7,12,17,23,41,,,pt2,farright
EP,18,24,47,11,,,,pt2,farright
RD,1,16,28,46,9,,,pt2,farright
GA,1,15,24,46,14,,,pt2,farright
BC,1,13,28,38,20,,,pt2,farright
LW,1,13,26,42,18,,,pt2,farright
LN,13,25,31,31,,,,pt2,farright
DV,12,25,44,19,,,,pt2,farright
XB,1,9,25,43,22,,,pt2,farright
GL,9,18,51,22,,,,pt2,farright
FH,2,6,21,60,11,,,pt2,farright
RG,1,7,16,53,23,,,pt2,farright
FRo,7,19,49,25,,,,pt2,farright
FR,1,4,23,51,21,,,pt2,farright
JNB,5,15,39,41,,,,pt2,farright
YBP,5,16,45,34,,,,pt2,farright
CA,1,3,11,51,34,,,pt2,farright
MT,4,13,57,26,,,,pt2,farright
OF,3,17,52,28,,,,pt2,farright
FB,3,21,63,13,,,,pt2,farright
JLM,3,6,82,9,,,,pt2,farright
