candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,9,20,14,35,22,,,pt2,absentionists
GA,4,22,20,27,27,,,pt2,absentionists
EP,3,23,20,25,29,,,pt2,absentionists
MLP,6,18,16,36,24,,,pt2,absentionists
FH,2,22,23,28,25,,,pt2,absentionists
GD,3,17,22,24,34,,,pt2,absentionists
MM,6,12,15,40,27,,,pt2,absentionists
BR,4,13,19,23,41,,,pt2,absentionists
FRo,2,15,18,20,45,,,pt2,absentionists
RG,2,14,15,25,44,,,pt2,absentionists
FR,2,14,19,25,40,,,pt2,absentionists
NS,2,13,20,38,27,,,pt2,absentionists
RD,1,14,20,37,28,,,pt2,absentionists
BC,2,12,19,21,46,,,pt2,absentionists
SK,5,8,9,25,53,,,pt2,absentionists
DV,2,11,21,23,43,,,pt2,absentionists
XB,1,12,23,22,42,,,pt2,absentionists
LW,1,12,18,28,41,,,pt2,absentionists
LN,2,10,16,18,54,,,pt2,absentionists
EC,2,10,21,32,35,,,pt2,absentionists
EZ,3,7,18,51,21,,,pt2,absentionists
OF,1,9,16,25,49,,,pt2,absentionists
MT,1,9,14,28,48,,,pt2,absentionists
YBP,3,5,17,21,54,,,pt2,absentionists
CA,2,6,18,19,55,,,pt2,absentionists
JLM,2,5,24,49,20,,,pt2,absentionists
GL,7,17,32,44,,,,pt2,absentionists
JNB,1,5,14,18,62,,,pt2,absentionists
FB,6,30,35,29,,,,pt2,absentionists
DL,1,4,16,18,61,,,pt2,absentionists
