candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,17,21,11,39,12,,,pt2,all
MLP,14,19,14,41,12,,,pt2,all
GA,5,27,22,29,17,,,pt2,all
EP,4,28,22,29,17,,,pt2,all
MM,10,19,12,43,16,,,pt2,all
GD,5,23,21,31,20,,,pt2,all
BR,6,20,20,29,25,,,pt2,all
FRo,4,19,19,27,31,,,pt2,all
FR,5,17,20,29,29,,,pt2,all
NS,5,17,22,41,15,,,pt2,all
FH,3,19,26,37,15,,,pt2,all
RG,2,20,17,31,30,,,pt2,all
EC,5,16,18,39,22,,,pt2,all
BC,3,18,22,26,31,,,pt2,all
SK,9,11,10,31,39,,,pt2,all
LN,3,17,18,22,40,,,pt2,all
DV,3,17,26,28,26,,,pt2,all
XB,2,18,24,27,29,,,pt2,all
RD,2,17,22,42,17,,,pt2,all
EZ,5,12,15,56,12,,,pt2,all
LW,2,14,24,34,26,,,pt2,all
YBP,2,13,20,26,39,,,pt2,all
OF,1,13,20,31,35,,,pt2,all
JLM,5,8,15,60,12,,,pt2,all
MT,2,11,17,36,34,,,pt2,all
GL,1,12,21,36,30,,,pt2,all
DL,3,9,15,20,53,,,pt2,all
CA,2,10,17,31,40,,,pt2,all
JNB,1,9,15,23,52,,,pt2,all
FB,1,9,29,43,18,,,pt2,all
