candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GA,14,56,14,7,9,,,pt2,macron
EP,14,49,18,9,10,,,pt2,macron
GD,12,47,18,12,11,,,pt2,macron
BC,6,44,15,14,21,,,pt2,macron
LN,9,39,13,10,29,,,pt2,macron
YBP,5,38,19,10,28,,,pt2,macron
BR,10,31,23,23,13,,,pt2,macron
XB,4,37,29,10,20,,,pt2,macron
RG,5,33,22,20,20,,,pt2,macron
DV,5,26,35,19,15,,,pt2,macron
RD,3,27,31,30,9,,,pt2,macron
NS,5,22,27,36,10,,,pt2,macron
LW,3,24,35,23,15,,,pt2,macron
JB,5,21,14,54,6,,,pt2,macron
JNB,3,23,16,9,49,,,pt2,macron
FH,3,22,33,36,6,,,pt2,macron
FB,2,23,32,31,12,,,pt2,macron
FRo,2,22,27,27,22,,,pt2,macron
GL,2,20,34,22,22,,,pt2,macron
OF,1,20,28,25,26,,,pt2,macron
DL,5,13,16,17,49,,,pt2,macron
MM,5,13,14,60,8,,,pt2,macron
MLP,6,11,21,59,3,,,pt2,macron
FR,2,14,31,29,24,,,pt2,macron
SK,4,9,12,45,30,,,pt2,macron
EC,3,9,25,54,9,,,pt2,macron
EZ,2,9,11,74,4,,,pt2,macron
MT,1,10,24,41,24,,,pt2,macron
CA,8,23,40,29,,,,pt2,macron
JLM,2,3,6,83,6,,,pt2,macron
