candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,16,38,9,15,22,,,pt2,left
FRo,12,39,14,13,22,,,pt2,left
JLM,17,26,18,31,8,,,pt2,left
RG,4,32,17,25,22,,,pt2,left
FH,7,28,31,24,10,,,pt2,left
MT,6,28,17,20,29,,,pt2,left
CA,5,29,16,19,31,,,pt2,left
DV,5,24,27,26,18,,,pt2,left
OF,3,24,23,23,27,,,pt2,left
EP,3,21,30,35,11,,,pt2,left
GA,3,20,28,38,11,,,pt2,left
BC,3,16,25,33,23,,,pt2,left
XB,2,17,21,34,26,,,pt2,left
LN,1,15,18,31,35,,,pt2,left
RD,3,11,12,60,14,,,pt2,left
YBP,1,13,25,29,32,,,pt2,left
SK,4,8,9,44,35,,,pt2,left
LW,2,9,19,49,21,,,pt2,left
JB,2,8,10,71,9,,,pt2,left
JNB,1,9,17,25,48,,,pt2,left
GL,1,9,22,44,24,,,pt2,left
MLP,1,9,11,74,5,,,pt2,left
MM,9,11,72,8,,,,pt2,left
BR,1,7,21,54,17,,,pt2,left
GD,1,7,21,58,13,,,pt2,left
EC,8,11,63,18,,,,pt2,left
DL,7,13,28,52,,,,pt2,left
FB,7,29,52,12,,,,pt2,left
NS,1,4,19,70,6,,,pt2,left
EZ,3,7,84,6,,,,pt2,left
