candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,49,27,11,5,0,,pt3,all
GA,9,40,27,21,2,1,,pt3,all
RD,6,42,34,14,3,1,,pt3,all
NS,11,36,32,20,1,0,,pt3,all
FH,8,39,35,18,0,0,,pt3,all
XB,4,43,31,9,10,3,,pt3,all
FB,3,43,39,10,1,4,,pt3,all
BLM,7,39,32,16,1,5,,pt3,all
SRo,6,39,37,14,1,3,,pt3,all
GD,7,38,31,20,1,3,,pt3,all
FR,11,33,26,9,16,5,,pt3,all
JB,17,26,25,22,5,5,,pt3,all
LW,4,39,33,14,3,7,,pt3,all
MLP,15,27,28,30,0,0,,pt3,all
FRo,4,38,35,6,12,5,,pt3,all
GL,7,35,32,12,9,5,,pt3,all
MM,12,29,27,27,1,4,,pt3,all
EB,4,37,31,24,1,3,,pt3,all
BC,5,36,33,10,11,5,,pt3,all
YJ,4,36,32,11,12,5,,pt3,all
NDA,5,34,34,18,2,7,,pt3,all
CE,5,34,32,15,12,2,,pt3,all
EDM,5,34,33,21,1,6,,pt3,all
SL,5,33,34,6,15,7,,pt3,all
RM,6,30,30,15,12,7,,pt3,all
EM,7,28,30,35,0,0,,pt3,all
RG,5,30,27,9,19,10,,pt3,all
VP,4,29,38,22,5,2,,pt3,all
FXB,4,29,33,8,17,9,,pt3,all
AH,4,29,36,27,3,1,,pt3,all
SR,3,29,29,21,13,5,,pt3,all
EC,4,28,38,18,8,4,,pt3,all
NM,4,27,33,20,14,2,,pt3,all
JLM,10,21,33,34,2,0,,pt3,all
NB,2,28,36,13,15,6,,pt3,all
AB,2,28,34,9,18,9,,pt3,all
OF,3,27,32,8,21,9,,pt3,all
EZ,7,22,27,40,4,0,,pt3,all
YBP,3,26,32,7,19,13,,pt3,all
BR,4,25,27,9,25,10,,pt3,all
SS,3,25,33,8,19,12,,pt3,all
MP,4,23,24,20,19,10,,pt3,all
CBe,3,24,39,4,19,11,,pt3,all
PT,3,23,30,9,20,15,,pt3,all
CV,2,23,30,6,25,14,,pt3,all
DL,4,20,24,4,30,18,,pt3,all
APR,3,21,37,9,17,13,,pt3,all
AOC,1,22,36,19,14,8,,pt3,all
FRi,1,22,33,7,24,13,,pt3,all
OG,2,21,22,5,31,19,,pt3,all
