candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MBa,7,50,26,7,8,2,,pt3,all
EP,9,46,29,11,5,0,,pt3,all
GA,10,44,32,12,2,0,,pt3,all
JC,5,49,32,10,3,1,,pt3,all
RD,7,41,33,14,4,1,,pt3,all
BC,6,42,33,8,9,2,,pt3,all
FH,6,42,35,16,1,0,,pt3,all
BLM,6,41,32,14,1,6,,pt3,all
GL,3,44,30,9,10,4,,pt3,all
LW,5,41,31,14,1,8,,pt3,all
GD,7,39,31,20,1,2,,pt3,all
SRo,5,41,35,15,1,3,,pt3,all
FR,8,37,33,6,11,5,,pt3,all
NS,10,35,33,21,1,0,,pt3,all
JB,14,31,24,28,3,0,,pt3,all
FB,4,41,40,10,5,0,,pt3,all
MM,8,35,24,29,4,0,,pt3,all
MLP,11,31,24,33,1,0,,pt3,all
SL,3,38,32,6,17,4,,pt3,all
XB,5,36,33,12,3,11,,pt3,all
FRo,4,37,35,9,11,4,,pt3,all
YJ,5,35,30,13,14,3,,pt3,all
LC,4,35,28,14,15,4,,pt3,all
RM,5,34,30,15,13,3,,pt3,all
FXB,4,34,33,11,12,6,,pt3,all
EB,3,35,36,21,4,1,,pt3,all
EC,8,30,33,23,5,1,,pt3,all
OF,3,35,29,11,17,5,,pt3,all
NDA,3,34,33,20,9,1,,pt3,all
RG,8,29,30,11,16,6,,pt3,all
CE,4,31,34,14,13,4,,pt3,all
MT,6,29,26,9,22,8,,pt3,all
SR,4,31,29,21,12,3,,pt3,all
BR,4,30,27,8,23,8,,pt3,all
AB,2,32,33,10,18,5,,pt3,all
VP,5,29,39,19,6,2,,pt3,all
AH,4,29,40,24,3,0,,pt3,all
CA,7,25,27,13,20,8,,pt3,all
LA,3,29,26,16,20,6,,pt3,all
SS,2,30,31,7,23,7,,pt3,all
AOC,5,27,33,16,15,4,,pt3,all
MB,8,23,30,17,17,5,,pt3,all
YBP,4,27,29,11,21,8,,pt3,all
EM,6,25,35,33,1,0,,pt3,all
CV,3,27,34,6,23,7,,pt3,all
JLM,9,21,28,40,2,0,,pt3,all
APR,2,27,33,9,22,7,,pt3,all
MP,7,21,24,26,17,5,,pt3,all
DL,4,24,23,4,34,11,,pt3,all
EZ,8,16,34,40,1,1,,pt3,all
