candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,9,27,25,18,17,4,,pt1,all
MLP,15,19,15,11,36,4,,pt1,all
JB,17,16,17,13,33,4,,pt1,all
GA,8,23,26,19,20,4,,pt1,all
BLM,4,18,34,21,19,4,,pt1,all
GD,3,17,32,20,24,4,,pt1,all
JLM,8,10,14,17,47,4,,pt1,all
XB,4,14,39,23,16,4,,pt1,all
FR,7,10,38,22,19,4,,pt1,all
BC,3,14,41,23,15,4,,pt1,all
FRo,5,11,38,22,20,4,,pt1,all
EZ,6,9,15,15,52,3,,pt1,all
FB,3,12,35,25,21,4,,pt1,all
RG,4,10,43,21,18,4,,pt1,all
LW,2,10,38,25,21,4,,pt1,all
OF,3,8,43,23,19,4,,pt1,all
YBP,2,7,45,20,22,4,,pt1,all
DL,2,6,50,20,18,4,,pt1,all
