candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,21,14,15,10,37,3,,pt1,all
MLP,19,14,13,12,38,4,,pt1,all
MM,7,17,19,14,39,4,,pt1,all
GD,3,19,30,17,28,3,,pt1,all
GA,4,17,24,23,29,3,,pt1,all
BR,4,16,29,19,28,4,,pt1,all
EP,4,16,27,20,29,4,,pt1,all
FH,4,13,22,22,35,4,,pt1,all
EZ,7,10,14,13,53,3,,pt1,all
FR,6,10,32,22,27,3,,pt1,all
RG,4,12,30,22,28,4,,pt1,all
EC,5,11,23,19,38,4,,pt1,all
SL,2,13,31,21,29,4,,pt1,all
JLM,6,9,14,11,56,4,,pt1,all
BC,2,12,34,22,26,4,,pt1,all
SK,7,7,30,19,33,4,,pt1,all
XB,2,11,32,23,28,4,,pt1,all
DV,4,9,29,25,29,4,,pt1,all
JC,2,11,30,24,30,3,,pt1,all
OF,2,9,33,23,29,4,,pt1,all
FRo,3,8,32,24,29,4,,pt1,all
MT,3,8,30,20,35,4,,pt1,all
DL,2,8,42,20,25,3,,pt1,all
YBP,2,8,34,21,31,4,,pt1,all
MBa,2,8,32,28,27,3,,pt1,all
CA,2,8,31,22,34,3,,pt1,all
BLM,1,8,31,24,32,4,,pt1,all
LW,2,7,30,24,34,3,,pt1,all
FB,1,4,22,29,41,3,,pt1,all
