candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MEL,5,48,21,6,7,13,,pt3,all
FH,4,45,32,16,2,1,,pt3,all
EP,6,42,28,16,3,5,,pt3,all
SL,4,43,31,13,5,4,,pt3,all
JB,16,31,20,27,3,3,,pt3,all
DV,6,40,31,10,4,9,,pt3,all
JLB,5,41,25,6,7,16,,pt3,all
CL,7,38,26,11,6,12,,pt3,all
SRo,5,38,34,15,4,4,,pt3,all
GD,4,39,28,21,3,5,,pt3,all
GA,5,37,35,16,3,4,,pt3,all
MM,9,33,22,27,4,5,,pt3,all
MLP,15,27,24,33,1,0,,pt3,all
MBa,3,38,30,9,6,14,,pt3,all
NS,7,34,31,26,2,0,,pt3,all
BC,3,37,25,12,10,13,,pt3,all
BR,6,34,25,19,5,11,,pt3,all
FRo,4,36,25,9,9,17,,pt3,all
XB,3,37,26,13,9,12,,pt3,all
FR,5,35,24,9,8,19,,pt3,all
RD,3,35,36,19,2,5,,pt3,all
EB,4,33,30,25,4,4,,pt3,all
EC,7,30,23,21,6,13,,pt3,all
RM,7,29,23,11,7,23,,pt3,all
VP,3,33,32,19,6,7,,pt3,all
JLM,12,24,20,41,3,0,,pt3,all
BLM,2,33,33,17,10,5,,pt3,all
LW,3,32,30,16,6,13,,pt3,all
EG,3,31,21,7,11,27,,pt3,all
BB,9,25,15,16,5,30,,pt3,all
RG,4,30,21,12,9,24,,pt3,all
SR,4,29,22,20,7,18,,pt3,all
EM,6,27,30,36,1,0,,pt3,all
CT,2,31,24,5,8,30,,pt3,all
OF,2,30,26,11,9,22,,pt3,all
GL,2,30,28,15,6,19,,pt3,all
HM,2,30,20,5,10,33,,pt3,all
JNB,3,28,22,7,11,29,,pt3,all
CV,1,30,22,8,11,28,,pt3,all
FB,3,28,38,22,6,3,,pt3,all
CA,3,28,17,11,8,33,,pt3,all
RH,8,23,17,20,6,26,,pt3,all
SK,8,23,19,14,6,30,,pt3,all
MT,3,27,23,14,6,27,,pt3,all
FXB,4,26,27,10,10,23,,pt3,all
AB,2,27,23,10,9,29,,pt3,all
YJ,2,27,23,10,12,26,,pt3,all
LN,2,26,25,10,9,28,,pt3,all
MB,6,22,21,18,7,26,,pt3,all
EZ,6,21,26,43,2,2,,pt3,all
