candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,20,16,12,9,41,2,,pt1,all
MLP,21,15,10,10,42,2,,pt1,all
EP,3,16,22,24,33,2,,pt1,all
JLM,9,10,9,12,58,2,,pt1,all
FH,2,16,21,24,35,2,,pt1,all
GA,3,15,20,28,32,2,,pt1,all
RG,4,13,29,22,30,2,,pt1,all
SK,9,8,23,19,39,2,,pt1,all
EZ,7,10,10,12,59,2,,pt1,all
BR,3,13,29,21,32,2,,pt1,all
FR,3,11,27,28,29,2,,pt1,all
SL,2,11,25,30,30,2,,pt1,all
DL,5,7,36,23,27,2,,pt1,all
FRo,2,10,31,28,27,2,,pt1,all
DV,3,9,28,28,30,2,,pt1,all
MT,3,9,25,22,39,2,,pt1,all
OF,1,10,32,26,29,2,,pt1,all
BC,1,10,30,29,28,2,,pt1,all
XB,2,8,28,31,29,2,,pt1,all
LW,1,5,29,28,35,2,,pt1,all
BLM,1,5,27,27,38,2,,pt1,all
