candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,49,29,11,3,0,,pt3,all
MBa,8,44,33,9,4,2,,pt3,all
FR,9,41,28,10,9,3,,pt3,all
JC,4,42,40,10,3,1,,pt3,all
BC,4,42,36,11,6,1,,pt3,all
FRo,5,41,34,9,9,2,,pt3,all
FB,4,42,37,13,1,3,,pt3,all
GA,8,38,34,18,2,0,,pt3,all
XB,3,42,34,12,2,7,,pt3,all
FH,5,40,35,20,0,0,,pt3,all
JB,14,31,25,29,1,0,,pt3,all
YJ,5,40,31,10,11,3,,pt3,all
NS,8,35,34,23,0,0,,pt3,all
GD,5,38,33,21,3,0,,pt3,all
BR,7,35,30,13,11,4,,pt3,all
RG,7,35,32,10,12,4,,pt3,all
GL,5,37,38,10,2,8,,pt3,all
SL,5,37,36,7,12,3,,pt3,all
SRo,6,36,40,15,3,0,,pt3,all
RD,5,37,40,17,1,0,,pt3,all
LW,4,37,36,17,1,5,,pt3,all
RM,7,32,33,15,9,4,,pt3,all
MLP,13,26,26,35,0,0,,pt3,all
EB,3,36,38,21,2,0,,pt3,all
MM,8,31,28,30,1,2,,pt3,all
CA,5,33,28,14,15,5,,pt3,all
OF,3,35,35,10,14,3,,pt3,all
MT,5,33,29,11,18,4,,pt3,all
BLM,5,32,37,19,6,1,,pt3,all
NDA,7,30,38,18,5,2,,pt3,all
CE,3,34,35,16,9,3,,pt3,all
AH,5,31,34,26,3,1,,pt3,all
CV,3,33,35,8,15,6,,pt3,all
AB,2,33,37,11,13,4,,pt3,all
SR,7,28,30,22,10,3,,pt3,all
EC,5,29,34,25,5,2,,pt3,all
FXB,4,30,37,10,15,4,,pt3,all
SS,2,32,35,8,17,6,,pt3,all
YBP,4,29,35,9,17,6,,pt3,all
VP,3,30,43,21,2,1,,pt3,all
EM,6,26,31,37,0,0,,pt3,all
MB,5,26,31,19,14,5,,pt3,all
DL,3,28,26,8,25,10,,pt3,all
APR,2,28,36,10,17,7,,pt3,all
JNB,2,28,32,7,22,9,,pt3,all
JLM,8,22,29,40,1,0,,pt3,all
DM,2,27,30,7,24,10,,pt3,all
SK,6,22,29,11,23,9,,pt3,all
MP,5,23,29,24,15,4,,pt3,all
EZ,6,19,28,46,1,0,,pt3,all
