candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JLB,8,39,35,6,7,5,,pt3,all
SL,8,38,34,15,3,2,,pt3,all
DV,7,39,38,11,4,1,,pt3,all
JB,20,25,22,31,1,1,,pt3,all
EP,7,37,36,16,2,2,,pt3,all
GD,6,36,28,26,2,0,,pt3,all
BM,8,34,33,23,2,0,,pt3,all
FR,8,33,31,9,13,6,,pt3,all
GA,6,35,38,18,2,1,,pt3,all
MM,12,29,25,32,1,1,,pt3,all
BR,7,34,28,22,6,3,,pt3,all
MLP,16,24,25,35,0,0,,pt3,all
BC,5,35,38,11,7,4,,pt3,all
FH,4,36,39,20,1,0,,pt3,all
MBa,5,35,38,12,7,3,,pt3,all
NS,10,30,32,27,1,0,,pt3,all
SRo,5,34,40,16,3,2,,pt3,all
FRo,4,33,37,10,10,6,,pt3,all
RD,5,32,37,22,1,3,,pt3,all
RM,11,25,32,17,8,7,,pt3,all
XB,4,30,40,13,9,4,,pt3,all
BLM,3,30,40,21,4,2,,pt3,all
EB,4,29,35,29,2,1,,pt3,all
RG,5,28,33,14,11,9,,pt3,all
AH,4,28,39,26,2,1,,pt3,all
GL,3,29,39,18,6,5,,pt3,all
SR,4,28,29,25,9,5,,pt3,all
HM,3,29,37,5,13,13,,pt3,all
LW,4,28,41,19,5,3,,pt3,all
VP,4,27,40,23,4,2,,pt3,all
CE,2,28,37,20,8,5,,pt3,all
OF,2,28,39,13,11,7,,pt3,all
YJ,2,28,37,10,13,10,,pt3,all
AB,4,26,39,11,10,10,,pt3,all
RH,7,22,25,23,11,12,,pt3,all
CA,4,25,29,12,16,14,,pt3,all
MT,5,24,32,15,12,12,,pt3,all
EC,5,24,32,30,6,3,,pt3,all
YBP,4,24,33,13,13,13,,pt3,all
FXB,4,24,39,11,12,10,,pt3,all
SK,12,16,28,15,13,16,,pt3,all
AdM,3,25,36,7,15,14,,pt3,all
JNB,3,24,36,10,14,13,,pt3,all
LN,2,25,36,10,13,14,,pt3,all
FB,4,23,47,24,1,1,,pt3,all
MB,5,21,32,18,13,11,,pt3,all
CV,2,24,37,11,15,11,,pt3,all
RL,2,23,32,5,19,19,,pt3,all
JLM,7,18,26,47,1,1,,pt3,all
EM,4,20,33,43,0,0,,pt3,all
