candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,7,45,30,15,2,1,,pt3,all
DV,6,44,34,9,6,1,,pt3,all
MBa,4,43,37,11,4,1,,pt3,all
GA,6,40,37,17,0,0,,pt3,all
BC,4,42,36,11,5,2,,pt3,all
FH,6,39,36,19,0,0,,pt3,all
FRo,5,39,34,12,7,3,,pt3,all
JC,4,39,41,13,2,1,,pt3,all
GD,5,38,35,18,3,1,,pt3,all
BR,7,36,34,16,5,2,,pt3,all
JB,14,29,29,27,1,0,,pt3,all
XB,5,38,36,14,2,5,,pt3,all
SRo,5,38,38,15,4,0,,pt3,all
SL,5,38,35,10,8,4,,pt3,all
FR,7,36,35,12,4,6,,pt3,all
NS,8,34,34,24,0,0,,pt3,all
RD,5,37,38,18,2,0,,pt3,all
BLM,4,37,37,17,1,4,,pt3,all
MLP,15,25,28,32,0,0,,pt3,all
GL,5,35,40,11,4,5,,pt3,all
OF,4,35,38,9,9,5,,pt3,all
MM,8,31,32,28,1,0,,pt3,all
RG,6,33,33,14,9,5,,pt3,all
FB,3,35,41,19,2,0,,pt3,all
LW,3,34,40,17,2,4,,pt3,all
RM,6,31,35,15,9,4,,pt3,all
EC,6,31,33,23,6,1,,pt3,all
VP,4,31,41,19,4,1,,pt3,all
YJ,3,32,40,12,9,4,,pt3,all
AB,2,33,38,13,9,5,,pt3,all
EB,3,32,39,25,1,0,,pt3,all
CE,4,31,35,14,10,6,,pt3,all
FXB,4,31,37,10,12,6,,pt3,all
AH,5,30,39,25,1,0,,pt3,all
EM,6,28,34,32,0,0,,pt3,all
MT,4,30,30,12,16,8,,pt3,all
SR,4,30,34,23,7,2,,pt3,all
MV,3,30,38,23,1,5,,pt3,all
CA,3,29,33,14,14,7,,pt3,all
CV,3,29,41,10,11,6,,pt3,all
YBP,3,29,37,10,13,8,,pt3,all
MB,4,28,32,18,12,6,,pt3,all
JNB,2,28,40,8,14,8,,pt3,all
EL,2,28,34,9,19,8,,pt3,all
APR,2,28,37,13,12,8,,pt3,all
SK,4,25,28,14,19,10,,pt3,all
JLM,7,21,31,41,0,0,,pt3,all
MP,3,24,32,24,11,6,,pt3,all
DL,5,22,31,9,20,13,,pt3,all
CM,3,23,33,6,21,14,,pt3,all
