candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GA,7,59,15,8,11,,,pt2,macron
EP,9,56,21,7,7,,,pt2,macron
GD,8,50,24,7,11,,,pt2,macron
BC,6,38,26,9,21,,,pt2,macron
YBP,5,37,16,6,36,,,pt2,macron
LN,7,34,13,9,37,,,pt2,macron
RG,8,29,21,20,22,,,pt2,macron
DV,4,31,28,18,19,,,pt2,macron
XB,4,30,34,14,18,,,pt2,macron
BR,9,24,29,24,14,,,pt2,macron
NS,4,28,28,30,10,,,pt2,macron
GL,2,26,25,22,25,,,pt2,macron
JB,8,19,21,48,4,,,pt2,macron
LW,3,23,33,27,14,,,pt2,macron
FH,3,23,31,31,12,,,pt2,macron
RD,3,23,33,32,9,,,pt2,macron
MLP,8,15,20,54,3,,,pt2,macron
FRo,3,20,35,22,20,,,pt2,macron
FB,2,20,44,26,8,,,pt2,macron
MM,3,16,20,56,5,,,pt2,macron
FR,1,18,31,27,23,,,pt2,macron
OF,1,18,35,25,21,,,pt2,macron
JNB,3,15,13,11,58,,,pt2,macron
JPF,1,17,9,9,64,,,pt2,macron
DL,2,11,16,10,61,,,pt2,macron
SK,5,7,11,30,47,,,pt2,macron
MT,1,11,21,44,23,,,pt2,macron
EC,2,9,21,55,13,,,pt2,macron
EZ,1,9,15,72,3,,,pt2,macron
JLM,1,3,7,85,4,,,pt2,macron
