candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,49,39,6,2,4,,,pt2,farright
JB,61,26,8,2,3,,,pt2,farright
MM,23,43,16,7,11,,,pt2,farright
EC,15,41,15,15,14,,,pt2,farright
EZ,18,35,17,23,7,,,pt2,farright
BR,7,38,17,17,21,,,pt2,farright
NS,13,31,22,26,8,,,pt2,farright
GD,5,31,27,29,8,,,pt2,farright
SK,21,14,14,23,28,,,pt2,farright
RD,2,20,26,44,8,,,pt2,farright
DL,5,15,16,20,44,,,pt2,farright
EP,2,17,31,41,9,,,pt2,farright
GA,2,15,26,49,8,,,pt2,farright
DV,1,16,24,40,19,,,pt2,farright
XB,1,16,27,38,18,,,pt2,farright
LW,16,30,33,21,,,,pt2,farright
GL,3,12,26,38,21,,,pt2,farright
LN,1,14,23,29,33,,,pt2,farright
BC,1,12,25,38,24,,,pt2,farright
FR,1,12,23,40,24,,,pt2,farright
FRo,1,11,22,44,22,,,pt2,farright
FH,1,11,20,63,5,,,pt2,farright
YBP,1,6,18,43,32,,,pt2,farright
RG,1,6,24,45,24,,,pt2,farright
FB,1,6,25,59,9,,,pt2,farright
JPF,1,5,12,26,56,,,pt2,farright
JNB,1,4,19,33,43,,,pt2,farright
MT,5,13,55,27,,,,pt2,farright
OF,4,21,49,26,,,,pt2,farright
JLM,3,13,79,5,,,,pt2,farright
