candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,18,21,14,37,10,,,pt2,all
MLP,15,22,15,38,10,,,pt2,all
EP,4,29,25,27,15,,,pt2,all
GD,3,27,24,28,18,,,pt2,all
GA,3,27,24,30,16,,,pt2,all
BR,6,21,22,28,23,,,pt2,all
MM,7,19,17,41,16,,,pt2,all
NS,5,20,21,40,14,,,pt2,all
FRo,3,20,22,25,30,,,pt2,all
DV,3,20,24,27,26,,,pt2,all
EC,5,17,19,37,22,,,pt2,all
FR,4,18,21,26,31,,,pt2,all
RG,4,17,21,27,31,,,pt2,all
FH,3,18,28,38,13,,,pt2,all
BC,2,19,22,26,31,,,pt2,all
XB,2,19,26,26,27,,,pt2,all
EZ,5,14,14,57,10,,,pt2,all
LN,3,15,15,22,45,,,pt2,all
SK,8,8,12,27,45,,,pt2,all
YBP,2,14,17,27,40,,,pt2,all
LW,2,14,26,33,25,,,pt2,all
RD,1,15,25,41,18,,,pt2,all
OF,1,14,24,29,32,,,pt2,all
GL,1,14,20,34,31,,,pt2,all
MT,1,12,17,36,34,,,pt2,all
DL,3,9,14,17,57,,,pt2,all
JLM,3,9,16,62,10,,,pt2,all
FB,1,11,27,46,15,,,pt2,all
JNB,1,8,14,22,55,,,pt2,all
JPF,1,7,12,17,63,,,pt2,all
