candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,10,48,26,13,3,0,,pt3,all
JC,6,45,33,11,4,1,,pt3,all
MBa,7,43,35,11,3,1,,pt3,all
GA,7,41,33,18,1,0,,pt3,all
FB,5,42,35,14,3,1,,pt3,all
SRo,5,41,36,15,1,2,,pt3,all
FR,7,39,34,9,8,3,,pt3,all
BC,4,42,33,13,3,5,,pt3,all
BR,8,37,29,16,1,9,,pt3,all
RD,4,40,40,14,2,0,,pt3,all
RG,6,38,31,10,13,2,,pt3,all
JB,14,29,27,29,1,0,,pt3,all
GD,6,36,35,21,2,0,,pt3,all
XB,4,38,37,12,2,7,,pt3,all
FH,4,37,40,19,0,0,,pt3,all
FRo,3,38,36,13,1,9,,pt3,all
GL,5,36,37,14,2,6,,pt3,all
YJ,3,38,37,11,3,8,,pt3,all
SL,4,36,36,10,11,3,,pt3,all
MLP,13,26,29,32,0,0,,pt3,all
LW,4,35,38,16,2,5,,pt3,all
NS,7,32,34,27,0,0,,pt3,all
BLM,3,35,36,21,1,4,,pt3,all
OF,3,35,37,11,11,3,,pt3,all
EB,4,34,34,26,2,0,,pt3,all
CE,4,32,38,14,9,3,,pt3,all
RM,7,29,36,16,9,3,,pt3,all
VP,2,33,41,21,3,0,,pt3,all
MM,8,27,36,27,2,0,,pt3,all
FXB,3,32,38,9,14,4,,pt3,all
YBP,3,32,35,11,13,6,,pt3,all
SR,2,32,34,23,2,7,,pt3,all
CA,5,29,32,15,14,5,,pt3,all
MV,3,31,37,26,3,0,,pt3,all
EC,5,29,33,28,5,0,,pt3,all
NDA,4,29,37,22,1,7,,pt3,all
CV,1,32,39,8,16,4,,pt3,all
AH,3,29,38,27,1,2,,pt3,all
AB,2,30,38,13,13,4,,pt3,all
MB,3,27,31,21,15,3,,pt3,all
APR,2,28,35,12,16,7,,pt3,all
MT,6,24,29,15,21,5,,pt3,all
SS,1,28,37,9,18,7,,pt3,all
JNB,2,27,34,8,21,8,,pt3,all
JLM,7,21,31,40,1,0,,pt3,all
EM,4,23,35,37,1,0,,pt3,all
SK,5,22,29,12,22,10,,pt3,all
DL,3,23,28,8,28,10,,pt3,all
MP,4,21,29,27,14,5,,pt3,all
EZ,7,17,32,44,0,0,,pt3,all
