candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,47,27,11,6,1,,pt3,all
FH,7,42,32,15,4,0,,pt3,all
GA,8,41,26,15,9,1,,pt3,all
BLM,6,40,30,15,8,1,,pt3,all
SRo,7,38,34,13,8,0,,pt3,all
FB,3,40,35,11,1,10,,pt3,all
XB,3,40,30,9,16,2,,pt3,all
BC,4,39,27,10,18,2,,pt3,all
RD,6,37,36,14,7,0,,pt3,all
NS,6,36,35,20,3,0,,pt3,all
FRo,5,36,30,8,19,2,,pt3,all
GD,5,36,28,22,1,8,,pt3,all
JB,13,27,26,21,1,12,,pt3,all
FR,9,30,25,10,23,3,,pt3,all
NDA,4,35,30,19,1,11,,pt3,all
OV,3,36,35,14,12,0,,pt3,all
GL,3,36,31,10,18,2,,pt3,all
LW,4,35,34,11,16,0,,pt3,all
EB,5,34,33,22,6,0,,pt3,all
MLP,11,27,28,31,3,0,,pt3,all
YJ,3,34,31,10,19,3,,pt3,all
MM,8,29,27,26,10,0,,pt3,all
RM,4,32,23,16,22,3,,pt3,all
EDM,6,30,32,22,1,9,,pt3,all
EM,6,29,30,33,1,1,,pt3,all
CE,2,33,31,14,18,2,,pt3,all
SR,5,28,25,19,20,3,,pt3,all
JLM,9,24,30,34,3,0,,pt3,all
SL,2,29,30,8,27,4,,pt3,all
VP,3,28,39,21,8,1,,pt3,all
CA,5,26,27,12,26,4,,pt3,all
RG,5,26,17,9,36,7,,pt3,all
EC,3,27,35,18,15,2,,pt3,all
OF,2,28,30,8,29,3,,pt3,all
BR,3,27,23,8,33,6,,pt3,all
NM,3,27,35,19,15,1,,pt3,all
AH,2,27,35,28,7,1,,pt3,all
AB,3,26,27,12,28,4,,pt3,all
CV,2,24,23,9,37,5,,pt3,all
CBe,1,24,29,8,33,5,,pt3,all
FXB,2,23,27,9,35,4,,pt3,all
MP,5,20,25,16,29,5,,pt3,all
APR,2,23,26,11,32,6,,pt3,all
SS,2,22,27,8,35,6,,pt3,all
EZ,6,18,30,42,4,0,,pt3,all
YBP,3,20,24,11,35,7,,pt3,all
AOC,2,20,32,18,26,2,,pt3,all
OG,2,20,18,7,43,10,,pt3,all
DL,3,19,18,5,47,8,,pt3,all
SAR,1,19,21,7,43,9,,pt3,all
