candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,10,48,26,11,3,2,,pt3,all
GA,8,42,28,18,3,1,,pt3,all
FH,6,42,35,16,1,0,,pt3,all
FRo,5,41,29,8,11,6,,pt3,all
XB,4,40,31,9,11,5,,pt3,all
FB,4,40,37,12,2,5,,pt3,all
BC,4,40,32,9,11,4,,pt3,all
BLM,4,39,32,18,2,5,,pt3,all
FR,8,35,27,9,14,7,,pt3,all
OV,4,38,31,18,3,6,,pt3,all
RD,6,36,38,16,2,2,,pt3,all
EB,5,36,33,21,1,4,,pt3,all
NS,8,32,36,23,1,0,,pt3,all
GL,3,37,35,11,10,4,,pt3,all
SRo,5,35,38,17,2,3,,pt3,all
GD,5,35,32,23,1,4,,pt3,all
LW,4,36,35,15,2,8,,pt3,all
EDM,6,34,32,20,3,5,,pt3,all
YJ,4,35,31,11,13,6,,pt3,all
EM,7,31,29,32,1,0,,pt3,all
RG,5,33,22,8,19,13,,pt3,all
JB,13,24,30,28,1,4,,pt3,all
SL,3,33,33,8,15,8,,pt3,all
RM,5,30,30,16,12,7,,pt3,all
MLP,10,24,31,35,0,0,,pt3,all
MM,7,26,31,31,4,1,,pt3,all
CA,5,28,28,13,16,10,,pt3,all
NDA,4,28,37,20,8,3,,pt3,all
NB,2,30,34,9,16,9,,pt3,all
AB,3,29,30,11,16,11,,pt3,all
CE,3,29,34,15,12,7,,pt3,all
OF,2,29,33,6,19,11,,pt3,all
FXB,4,27,31,8,19,11,,pt3,all
SR,3,27,29,25,10,6,,pt3,all
VP,4,26,45,20,4,1,,pt3,all
EC,3,26,37,22,8,4,,pt3,all
CV,2,27,27,6,25,13,,pt3,all
CBe,2,26,32,7,21,12,,pt3,all
JLM,8,20,33,37,2,0,,pt3,all
YBP,3,25,28,8,21,15,,pt3,all
SS,2,26,29,7,23,13,,pt3,all
APR,2,25,30,10,19,14,,pt3,all
NM,2,24,36,24,11,3,,pt3,all
AH,3,23,38,30,4,2,,pt3,all
AOC,1,24,35,19,13,8,,pt3,all
MP,4,21,23,18,21,13,,pt3,all
BR,2,22,32,10,22,12,,pt3,all
OG,2,20,20,5,32,21,,pt3,all
EZ,5,16,30,46,3,0,,pt3,all
DL,3,18,20,6,31,22,,pt3,all
