candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MEL,9,42,26,8,7,8,,pt3,all
DV,9,41,30,12,3,5,,pt3,all
JLB,5,42,31,7,5,10,,pt3,all
EP,7,40,27,20,3,3,,pt3,all
SL,5,39,31,17,4,4,,pt3,all
GD,7,37,28,22,3,3,,pt3,all
JB,15,27,22,33,2,1,,pt3,all
MM,11,31,23,30,2,3,,pt3,all
FH,7,35,33,23,1,1,,pt3,all
MBa,4,37,37,10,5,7,,pt3,all
BR,5,35,24,23,7,6,,pt3,all
FR,7,33,25,13,11,11,,pt3,all
GA,6,34,32,24,2,2,,pt3,all
RM,7,32,26,16,8,11,,pt3,all
SRo,6,32,36,20,3,3,,pt3,all
MLP,13,25,24,36,1,1,,pt3,all
BC,3,35,32,13,8,9,,pt3,all
FRo,4,33,32,12,10,9,,pt3,all
XB,3,34,32,14,9,8,,pt3,all
EC,8,28,27,26,4,7,,pt3,all
NS,7,29,33,29,2,0,,pt3,all
BB,10,26,19,16,11,18,,pt3,all
RD,4,31,34,25,3,3,,pt3,all
LW,3,32,35,19,5,6,,pt3,all
RG,4,30,25,16,11,14,,pt3,all
BLM,3,31,36,21,5,4,,pt3,all
CT,3,29,28,9,13,18,,pt3,all
EB,4,28,32,29,4,3,,pt3,all
OF,3,29,29,15,10,14,,pt3,all
EG,4,27,27,10,13,19,,pt3,all
SR,4,26,26,24,11,9,,pt3,all
EM,5,25,31,39,0,0,,pt3,all
AH,3,26,37,28,3,3,,pt3,all
SK,9,20,24,20,10,17,,pt3,all
FB,3,26,42,25,2,2,,pt3,all
CA,3,26,21,14,15,21,,pt3,all
VP,2,27,39,23,5,4,,pt3,all
JLM,9,20,23,46,1,1,,pt3,all
GL,3,26,36,15,9,11,,pt3,all
LN,2,26,27,13,14,18,,pt3,all
YJ,2,26,31,13,13,15,,pt3,all
BP,3,25,29,7,12,24,,pt3,all
FXB,4,24,29,13,13,17,,pt3,all
RH,9,19,25,25,10,12,,pt3,all
JNB,2,25,33,11,12,17,,pt3,all
CV,2,25,38,8,12,15,,pt3,all
HM,2,25,30,7,13,23,,pt3,all
MT,4,23,28,17,11,17,,pt3,all
CE,2,25,33,21,10,9,,pt3,all
DL,5,22,27,6,14,26,,pt3,all
