candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,21,13,17,9,35,5,,pt1,all
MLP,16,17,14,11,38,4,,pt1,all
EP,4,19,30,18,24,5,,pt1,all
GD,4,19,30,17,25,5,,pt1,all
MM,8,15,22,12,39,4,,pt1,all
GA,6,15,26,22,27,4,,pt1,all
BR,4,15,28,21,27,5,,pt1,all
FH,5,13,24,21,32,5,,pt1,all
FR,6,11,34,21,24,4,,pt1,all
RG,4,13,34,20,25,4,,pt1,all
SL,2,13,32,23,26,4,,pt1,all
EC,4,11,27,19,35,4,,pt1,all
JLM,6,9,15,13,53,4,,pt1,all
XB,3,11,35,21,25,5,,pt1,all
SK,6,8,31,17,33,5,,pt1,all
EZ,6,8,14,15,53,4,,pt1,all
BC,2,11,36,21,25,5,,pt1,all
DV,3,10,32,26,25,4,,pt1,all
OF,2,10,35,21,27,5,,pt1,all
JC,2,10,34,24,25,5,,pt1,all
FRo,2,9,34,24,26,5,,pt1,all
MT,4,7,32,19,34,4,,pt1,all
MBa,2,8,36,24,26,4,,pt1,all
CA,2,8,34,22,30,4,,pt1,all
LW,1,8,31,26,29,5,,pt1,all
BLM,1,8,30,25,31,5,,pt1,all
YBP,1,7,39,20,29,4,,pt1,all
FB,2,6,22,28,38,4,,pt1,all
DL,2,5,43,22,24,4,,pt1,all
