candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,20,14,15,10,37,4,,pt1,all
MLP,17,16,12,11,40,4,,pt1,all
GA,5,19,26,22,24,4,,pt1,all
EC,6,17,21,15,37,4,,pt1,all
MM,8,15,20,14,39,4,,pt1,all
EP,6,16,28,19,27,4,,pt1,all
BR,5,16,27,22,26,4,,pt1,all
GD,4,16,31,19,26,4,,pt1,all
SK,7,11,27,17,34,4,,pt1,all
FH,3,15,26,21,31,4,,pt1,all
EZ,6,12,13,11,54,4,,pt1,all
RG,3,13,33,24,23,4,,pt1,all
SL,2,14,31,23,27,3,,pt1,all
DV,4,12,28,24,28,4,,pt1,all
JLM,6,10,11,14,55,4,,pt1,all
FR,4,11,33,24,24,4,,pt1,all
FRo,3,10,34,25,24,4,,pt1,all
BC,3,10,33,24,26,4,,pt1,all
XB,2,11,33,26,24,4,,pt1,all
JC,2,11,32,25,27,3,,pt1,all
MBa,1,11,32,27,25,4,,pt1,all
MT,2,9,34,19,32,4,,pt1,all
BLM,1,10,31,25,29,4,,pt1,all
DL,3,7,41,21,24,4,,pt1,all
OF,1,9,37,23,26,4,,pt1,all
CA,2,8,34,24,28,4,,pt1,all
LW,2,8,32,24,31,3,,pt1,all
YBP,1,8,36,24,27,4,,pt1,all
BV,1,6,40,24,25,4,,pt1,all
