candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,10,46,23,12,6,3,,pt3,all
GA,10,42,27,14,5,2,,pt3,all
BLM,8,40,24,15,9,4,,pt3,all
NS,10,36,31,22,1,0,,pt3,all
FH,7,38,35,17,2,1,,pt3,all
OV,5,38,30,15,8,4,,pt3,all
FB,5,38,37,10,6,4,,pt3,all
MLP,17,26,25,31,1,0,,pt3,all
FRo,4,38,28,8,16,6,,pt3,all
RD,6,36,32,19,3,4,,pt3,all
BC,4,38,29,8,13,8,,pt3,all
SRo,7,34,34,18,2,5,,pt3,all
JB,16,25,24,23,8,4,,pt3,all
FR,9,31,25,8,16,11,,pt3,all
GD,5,35,30,21,2,7,,pt3,all
XB,6,34,32,9,12,7,,pt3,all
GL,5,34,29,9,16,7,,pt3,all
LW,4,34,33,14,11,4,,pt3,all
EB,5,33,29,26,2,5,,pt3,all
MM,11,27,27,28,2,5,,pt3,all
EM,9,28,27,35,1,0,,pt3,all
NDA,5,31,31,19,10,4,,pt3,all
CE,6,30,30,16,12,6,,pt3,all
YJ,3,33,27,9,18,10,,pt3,all
EDM,5,30,30,23,9,3,,pt3,all
EC,4,30,30,19,12,5,,pt3,all
SL,4,30,28,6,22,10,,pt3,all
RM,5,28,28,14,17,8,,pt3,all
CA,6,27,26,9,18,14,,pt3,all
VP,5,27,37,22,7,2,,pt3,all
OF,2,29,27,9,22,11,,pt3,all
AB,2,29,26,11,20,12,,pt3,all
AOC,2,28,27,11,22,10,,pt3,all
SS,3,26,23,4,27,17,,pt3,all
NM,4,25,31,22,10,8,,pt3,all
AH,4,25,36,26,7,2,,pt3,all
YBP,3,26,20,8,26,17,,pt3,all
CB,3,25,24,4,29,15,,pt3,all
SR,4,24,27,21,15,9,,pt3,all
JLM,8,19,29,42,2,0,,pt3,all
CV,2,25,22,6,31,14,,pt3,all
MP,5,21,22,14,24,14,,pt3,all
EZ,9,17,26,42,4,2,,pt3,all
CBe,3,23,26,6,27,15,,pt3,all
APR,2,24,25,9,23,17,,pt3,all
CD,3,22,18,5,32,20,,pt3,all
BR,2,23,25,9,26,15,,pt3,all
OG,2,21,15,4,35,23,,pt3,all
SAR,2,17,21,4,32,24,,pt3,all
DL,3,16,17,5,37,22,,pt3,all
