candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MEL,9,44,28,6,4,9,,pt3,all
JLB,6,43,29,8,4,10,,pt3,all
DV,9,39,30,13,3,6,,pt3,all
EP,8,39,31,16,2,4,,pt3,all
SRo,9,38,33,15,3,2,,pt3,all
SL,5,41,30,17,3,4,,pt3,all
GA,8,37,33,17,2,3,,pt3,all
FH,7,37,35,19,1,1,,pt3,all
BR,6,37,28,19,5,5,,pt3,all
JB,19,24,24,30,2,1,,pt3,all
GD,6,36,31,22,3,2,,pt3,all
MM,14,28,27,26,2,3,,pt3,all
MBa,4,38,40,7,3,8,,pt3,all
RM,9,32,26,15,5,13,,pt3,all
BC,3,38,35,10,6,8,,pt3,all
FRo,3,37,32,9,7,12,,pt3,all
FR,5,35,34,9,5,12,,pt3,all
LW,4,36,34,17,3,6,,pt3,all
NS,7,33,34,26,0,0,,pt3,all
CT,4,35,31,6,7,17,,pt3,all
XB,5,34,34,10,7,10,,pt3,all
EC,9,30,29,23,2,7,,pt3,all
BLM,5,34,38,14,5,4,,pt3,all
EG,4,35,32,6,8,15,,pt3,all
RG,5,34,27,12,7,15,,pt3,all
HM,4,34,33,6,7,16,,pt3,all
MLP,16,21,27,34,1,1,,pt3,all
EB,3,34,35,20,3,5,,pt3,all
CV,3,34,32,9,7,15,,pt3,all
BB,11,26,21,18,7,17,,pt3,all
RD,6,30,39,22,1,2,,pt3,all
SK,10,26,21,21,6,16,,pt3,all
FXB,4,31,35,9,6,15,,pt3,all
DL,6,29,27,6,8,24,,pt3,all
GL,4,31,35,17,4,9,,pt3,all
CA,3,31,23,12,8,23,,pt3,all
JLM,14,20,25,39,1,1,,pt3,all
YJ,3,31,31,8,8,19,,pt3,all
RH,9,25,22,22,6,16,,pt3,all
VP,4,30,39,20,4,3,,pt3,all
FB,5,29,40,21,2,3,,pt3,all
AB,2,31,29,11,8,19,,pt3,all
EM,6,27,32,34,1,0,,pt3,all
LN,3,30,31,11,6,19,,pt3,all
MT,3,29,27,13,8,20,,pt3,all
JNB,3,29,35,9,9,15,,pt3,all
MB,6,26,26,18,8,16,,pt3,all
YBP,3,29,28,14,7,19,,pt3,all
KB,5,27,25,7,8,28,,pt3,all
OF,2,29,34,13,7,15,,pt3,all
