candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,8,18,15,35,24,,,pt2,absentionists
EP,4,18,22,23,33,,,pt2,absentionists
MLP,6,15,18,38,23,,,pt2,absentionists
GA,3,14,17,32,34,,,pt2,absentionists
MM,2,14,16,38,30,,,pt2,absentionists
FH,1,15,24,32,28,,,pt2,absentionists
BR,1,14,22,27,36,,,pt2,absentionists
GD,15,19,33,33,,,,pt2,absentionists
DV,3,10,16,27,44,,,pt2,absentionists
NS,1,12,26,38,23,,,pt2,absentionists
JLB,2,10,17,25,46,,,pt2,absentionists
FR,4,7,18,27,44,,,pt2,absentionists
EC,3,8,19,34,36,,,pt2,absentionists
XB,1,10,18,28,43,,,pt2,absentionists
BC,1,10,21,26,42,,,pt2,absentionists
RG,1,10,17,30,42,,,pt2,absentionists
EZ,1,10,13,52,24,,,pt2,absentionists
JLM,3,6,13,54,24,,,pt2,absentionists
LN,2,7,14,23,54,,,pt2,absentionists
MT,2,7,12,32,47,,,pt2,absentionists
FRo,1,8,22,23,46,,,pt2,absentionists
SK,3,5,11,25,56,,,pt2,absentionists
LW,1,7,19,31,42,,,pt2,absentionists
RD,1,7,22,36,34,,,pt2,absentionists
FB,1,7,21,41,30,,,pt2,absentionists
DL,7,12,20,61,,,,pt2,absentionists
OF,7,19,26,48,,,,pt2,absentionists
GL,7,18,31,44,,,,pt2,absentionists
JPF,2,4,10,22,62,,,pt2,absentionists
YBP,6,16,28,50,,,,pt2,absentionists
JNB,4,14,24,58,,,,pt2,absentionists
