candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GD,13,48,16,9,14,,,pt2,macron
GA,10,49,23,7,11,,,pt2,macron
EP,13,45,27,8,7,,,pt2,macron
JLB,6,40,17,9,28,,,pt2,macron
BC,6,40,24,7,23,,,pt2,macron
YBP,8,37,13,6,36,,,pt2,macron
XB,4,38,26,13,19,,,pt2,macron
LN,9,30,12,7,42,,,pt2,macron
BR,9,26,30,19,16,,,pt2,macron
RG,6,29,28,18,19,,,pt2,macron
NS,8,22,35,26,9,,,pt2,macron
RD,6,23,34,25,12,,,pt2,macron
GL,3,26,29,14,28,,,pt2,macron
JB,8,17,17,50,8,,,pt2,macron
FRo,2,23,30,19,26,,,pt2,macron
FH,5,19,43,25,8,,,pt2,macron
DV,5,18,41,18,18,,,pt2,macron
FB,21,42,23,14,,,,pt2,macron
MM,5,15,17,51,12,,,pt2,macron
LW,3,17,35,23,22,,,pt2,macron
OF,1,17,37,20,25,,,pt2,macron
FR,2,15,35,25,23,,,pt2,macron
MLP,5,11,22,55,7,,,pt2,macron
JNB,4,12,22,7,55,,,pt2,macron
DL,3,13,21,12,51,,,pt2,macron
EC,2,13,20,51,14,,,pt2,macron
SK,6,8,10,31,45,,,pt2,macron
JPF,2,11,15,10,62,,,pt2,macron
MT,1,10,20,41,28,,,pt2,macron
EZ,1,5,18,70,6,,,pt2,macron
JLM,1,4,10,80,5,,,pt2,macron
