candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FRo,7,43,20,18,12,,,pt2,left
JLM,16,29,19,33,3,,,pt2,left
FH,3,41,32,22,2,,,pt2,left
FR,16,26,17,24,17,,,pt2,left
RG,8,33,19,26,14,,,pt2,left
MT,8,29,21,18,24,,,pt2,left
OF,3,31,27,20,19,,,pt2,left
DV,3,27,35,25,10,,,pt2,left
JLB,4,21,30,26,19,,,pt2,left
EP,1,24,36,32,7,,,pt2,left
BC,3,19,27,36,15,,,pt2,left
GA,2,20,32,40,6,,,pt2,left
LN,0,19,27,29,25,,,pt2,left
XB,1,15,25,41,18,,,pt2,left
JB,5,9,8,74,4,,,pt2,left
MLP,5,9,9,76,1,,,pt2,left
RD,3,11,25,57,4,,,pt2,left
GD,3,10,23,59,5,,,pt2,left
YBP,0,12,26,37,25,,,pt2,left
LW,0,11,23,58,8,,,pt2,left
FB,0,11,21,63,5,,,pt2,left
JPF,1,9,15,24,51,,,pt2,left
BR,1,9,22,59,9,,,pt2,left
MM,1,9,9,74,7,,,pt2,left
JNB,2,7,25,24,42,,,pt2,left
EC,1,8,11,74,6,,,pt2,left
DL,0,9,20,27,44,,,pt2,left
NS,0,9,18,71,2,,,pt2,left
SK,1,5,14,43,37,,,pt2,left
GL,0,6,29,50,15,,,pt2,left
EZ,1,1,11,85,2,,,pt2,left
