candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,18,20,12,38,12,,,pt2,all
MLP,14,19,14,42,11,,,pt2,all
EP,5,25,27,25,18,,,pt2,all
MM,8,20,14,41,17,,,pt2,all
GD,5,23,20,33,19,,,pt2,all
GA,4,23,23,32,18,,,pt2,all
JLB,4,21,22,22,31,,,pt2,all
BR,5,19,22,31,23,,,pt2,all
NS,5,18,25,40,12,,,pt2,all
FH,2,20,30,35,13,,,pt2,all
BC,3,18,25,26,28,,,pt2,all
RG,3,18,21,31,27,,,pt2,all
DV,3,18,25,28,26,,,pt2,all
EC,4,16,17,42,21,,,pt2,all
FRo,2,18,24,26,30,,,pt2,all
XB,2,18,23,30,27,,,pt2,all
FR,5,13,21,30,31,,,pt2,all
LN,3,15,17,24,41,,,pt2,all
RD,3,14,26,40,17,,,pt2,all
SK,8,8,11,28,45,,,pt2,all
EZ,5,11,16,56,12,,,pt2,all
MT,3,12,16,36,33,,,pt2,all
YBP,2,13,19,27,39,,,pt2,all
LW,2,13,25,35,25,,,pt2,all
JLM,5,9,13,62,11,,,pt2,all
OF,1,13,25,28,33,,,pt2,all
GL,1,12,23,33,31,,,pt2,all
DL,2,10,15,20,53,,,pt2,all
FB,1,10,25,47,17,,,pt2,all
JPF,1,7,12,20,60,,,pt2,all
JNB,1,7,18,23,51,,,pt2,all
