candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,16,17,16,12,31,8,,pt1,all
MLP,14,16,17,12,33,8,,pt1,all
GA,3,16,27,21,25,8,,pt1,all
EP,3,15,29,20,25,8,,pt1,all
GD,3,15,29,19,26,8,,pt1,all
MM,6,12,21,16,37,8,,pt1,all
BR,5,12,31,17,26,9,,pt1,all
EC,3,12,25,16,36,8,,pt1,all
RG,3,11,32,21,25,8,,pt1,all
FH,3,11,25,22,31,8,,pt1,all
SK,5,8,36,16,28,7,,pt1,all
FR,3,10,33,21,24,9,,pt1,all
BC,2,11,34,22,23,8,,pt1,all
EZ,5,8,16,15,47,9,,pt1,all
JLM,5,8,14,15,51,7,,pt1,all
XB,2,10,33,23,25,7,,pt1,all
DV,3,8,35,22,24,8,,pt1,all
JC,2,9,31,23,27,8,,pt1,all
OF,2,8,35,22,24,9,,pt1,all
MT,3,7,33,20,29,8,,pt1,all
DL,2,7,42,18,24,7,,pt1,all
FRo,2,7,37,20,25,9,,pt1,all
YBP,2,7,35,21,27,8,,pt1,all
MBa,2,7,33,26,24,8,,pt1,all
BLM,2,7,30,22,31,8,,pt1,all
CA,2,6,35,20,28,9,,pt1,all
LW,2,6,30,26,28,8,,pt1,all
FB,1,6,22,24,39,8,,pt1,all
