candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,8,46,29,10,5,2,,pt3,all
MBa,6,47,26,9,9,3,,pt3,all
GA,8,40,31,15,5,1,,pt3,all
FR,8,40,27,7,14,4,,pt3,all
NS,11,35,34,18,2,0,,pt3,all
RD,7,37,35,14,2,5,,pt3,all
BC,4,40,32,9,11,4,,pt3,all
GD,7,37,30,18,2,6,,pt3,all
GL,5,39,33,10,10,3,,pt3,all
JC,4,40,36,10,3,7,,pt3,all
JB,13,30,27,26,1,3,,pt3,all
SRo,5,38,38,14,1,4,,pt3,all
EB,5,38,30,19,1,7,,pt3,all
FRo,4,39,31,9,12,5,,pt3,all
BLM,3,40,30,18,3,6,,pt3,all
FH,6,37,39,18,0,0,,pt3,all
XB,5,37,32,11,12,3,,pt3,all
FB,4,35,39,11,1,10,,pt3,all
SL,2,37,29,9,16,7,,pt3,all
RG,7,32,27,10,17,7,,pt3,all
LW,5,34,36,14,3,8,,pt3,all
MLP,12,26,31,30,1,0,,pt3,all
BR,8,30,20,13,20,9,,pt3,all
OF,3,35,30,9,17,6,,pt3,all
MM,8,29,31,25,1,6,,pt3,all
YJ,4,32,34,9,16,5,,pt3,all
VP,3,33,35,20,7,2,,pt3,all
RM,5,31,29,15,14,6,,pt3,all
CE,3,32,34,12,13,6,,pt3,all
AH,4,30,36,23,5,2,,pt3,all
AB,3,30,32,12,16,7,,pt3,all
NDA,5,28,37,17,10,3,,pt3,all
YBP,4,29,30,10,18,9,,pt3,all
MB,5,28,28,14,18,7,,pt3,all
EM,6,27,33,33,1,0,,pt3,all
CA,6,27,27,13,20,7,,pt3,all
FXB,5,28,35,10,18,4,,pt3,all
EC,5,27,34,24,7,3,,pt3,all
SR,4,27,30,22,12,5,,pt3,all
MT,4,27,26,10,23,10,,pt3,all
CV,3,27,34,7,21,8,,pt3,all
SS,3,27,33,7,22,8,,pt3,all
DL,4,26,25,6,26,13,,pt3,all
APR,2,26,33,10,20,9,,pt3,all
JLM,8,19,32,38,2,1,,pt3,all
DM,2,25,25,6,29,13,,pt3,all
JNB,2,24,28,5,27,14,,pt3,all
EZ,4,21,31,39,4,1,,pt3,all
MP,5,20,27,21,19,8,,pt3,all
AG,2,22,26,6,27,17,,pt3,all
